Frente,Verso,Romaji
A：こんにちは。<br>B：こんにちは。,A: Boa tarde. / B: Boa tarde.,A: Konnichiwa. / B: Konnichiwa.
A：がっこうに いきますか？<br>B：はい、いきます。,"A: Você vai à escola? / B: Sim, vou.","A: Gakkou ni ikimasu ka? / B: Hai, ikimasu."
A：これ、どうぞ。<br>B：ありがとうございます。,"A: Aqui, para você. / B: Muito obrigado.","A: Kore, douzo. / B: Arigatou gozaimasu."
A：でんしゃで いきます。<br>B：わたしもです。,A: Vou de trem. / B: Eu também.,A: Densha de ikimasu. / B: Watashi mo desu.
A：おはようございます。<br>B：おはようございます。,A: Bom dia. / B: Bom dia.,A: Ohayou gozaimasu. / B: Ohayou gozaimasu.
A：なにが すきですか？<br>B：さかなが すきです。,A: Do que você gosta? / B: Gosto de peixe.,A: Nani ga suki desu ka? / B: Sakana ga suki desu.
A：きょうは さむいですね。<br>B：そうですね。,"A: Está frio hoje, né? / B: Verdade.",A: Kyou wa samui desu ne. / B: Sou desu ne.
A：なまえは なんですか？<br>B：やまだ です。,A: Qual é seu nome? / B: (Sou) Yamada.,A: Namae wa nan desu ka? / B: Yamada desu.
A：おちゃを のみますか？<br>B：いいえ、のみません。,"A: Vai tomar chá? / B: Não, não vou.","A: Ocha o nomimasu ka? / B: Iie, nomimasen."
A：どこに いきますか？<br>B：スーパーに いきます。,A: Para onde você vai? / B: Vou ao supermercado.,A: Doko ni ikimasu ka? / B: Suupaa ni ikimasu.
A：こんばん は。<br>B：こんばん は。,A: Boa noite. / B: Boa noite.,A: Konban wa. / B: Konban wa.
A：たんじょうびは いつですか？<br>B：しちがつ です。,A: Quando é seu aniversário? / B: Em julho.,A: Tanjoubi wa itsu desu ka? / B: Shichigatsu desu.
A：いま なんじですか？<br>B：ごじ です。,A: Que horas são? / B: São cinco horas.,A: Ima nanji desu ka? / B: Goji desu.
A：しゅくだいを しましたか？<br>B：はい、しました。,"A: Fez a lição de casa? / B: Sim, fiz.","A: Shukudai o shimashita ka? / B: Hai, shimashita."
A：これ、なんですか？<br>B：パンです。,A: O que é isso? / B: É pão.,"A: Kore, nan desu ka? / B: Pan desu."
A：ともだちは どこですか？<br>B：うちに います。,A: Onde está seu amigo? / B: Está em casa.,A: Tomodachi wa doko desu ka? / B: Uchi ni imasu.
A：がっこうは どようびに ありますか？<br>B：いいえ、ありません。,"A: Tem aula no sábado? / B: Não, não tem.","A: Gakkou wa doyoubi ni arimasu ka? / B: Iie, arimasen."
A：これは だれの かさですか？<br>B：わたしのです。,A: De quem é esse guarda-chuva? / B: É meu.,A: Kore wa dare no kasa desu ka? / B: Watashi no desu.
A：テレビを みましたか？<br>B：はい、みました。,"A: Assistiu TV? / B: Sim, assisti.","A: Terebi o mimashita ka? / B: Hai, mimashita."
A：ほんを よみますか？<br>B：はい、まいにち よみます。,"A: Você lê livros? / B: Sim, leio todo dia.","A: Hon o yomimasu ka? / B: Hai, mainichi yomimasu."
